,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.52,30.5,5.91,2208.56,Impurity,Weak,,,39,5.8,27.5,4.32,1440.37,Impurity,Weak,,,67,4.37,54.9,18.54,12014.55,Compound,None,,,95,3.89,419.2,3.85,18418.26,Compound,None,,,123,3.65,1156.7,4.77,64254.45,Compound,None,,,151,3.4,712.7,4.98,40307.72,Compound,None,,,179,2.79,160.9,5.65,10163.47,Compound,None,,,207,2.34,661,5.61,44233.94,Compound,None,,,235,2.03,201.5,4.95,11692.7,Compound,None,,,263,1.32,454.9,3.72,18976.16,Compound,None,,,291,0.95,709.9,4.18,34186.59,Compound,None,,
12,7.47,21.1,3.48,786.23,Impurity,Weak,,,40,5.79,27.5,4.13,1285.1,Impurity,Weak,,,68,4.34,19.6,3.99,893.16,Artifact,Weak,,,96,3.88,505.3,3.84,22253.86,Compound,None,,,124,3.64,986.6,6.22,68796.17,Compound,None,,,152,3.39,779.7,4.21,37477.71,Compound,None,,,180,2.78,22.6,2.39,566.89,Impurity,Weak,,,208,2.34,307.4,6.08,24207.67,Compound,None,,,236,2.01,88.6,4.2,3960,Compound,None,,,264,1.31,1258.6,3.74,56130.76,Compound,None,,,292,0.94,869.2,5.19,50979.09,Compound,None,,
13,7.42,145.4,5.78,10064.06,Compound,None,,,41,5.63,52.5,7.87,4845.72,Compound,None,,,69,4.32,29.9,5.91,2009.91,Impurity,Weak,,,97,3.86,1366.2,7.31,109060.72,Compound,None,,,125,3.63,1370.5,4.98,78738.65,Compound,None,,,153,3.38,255.1,3.26,9252.34,Compound,None,,,181,2.74,85.8,4.59,4530.89,Compound,None,,,209,2.33,345.1,3.48,13488.63,Compound,None,,,237,2,91.6,4.71,4647.4,Compound,None,,,265,1.31,547.5,4.31,27348.56,Compound,None,,,293,0.93,466.7,3,16820.26,Compound,None,,
14,7.41,105.1,5.28,6231.71,Compound,None,,,42,5.55,67.7,3.44,2662.29,Impurity,None,,,70,4.24,103,8.05,9647.43,Compound,None,,,98,3.86,720.1,4.59,37481.7,Compound,None,,,126,3.62,193.1,3.66,7785.78,Compound,None,,,154,3.35,737.2,2.34,19686.52,Compound,None,,,182,2.73,25,3.28,921.16,Compound,None,,,210,2.32,42.9,5.75,2213.06,Compound,None,,,238,1.99,96.6,3.68,3968.37,Compound,None,,,266,1.27,34.8,3.28,1227.71,Impurity,Weak,,,294,0.93,461.9,3.44,18031.84,Compound,None,,
15,7.37,39.1,4.28,1942.58,Impurity,None,,,43,5.51,16.8,9.35,1695.66,Artifact,Weak,,,71,4.22,29.3,2.91,893.69,Impurity,Weak,,,99,3.85,3547.6,7.09,280791.17,Compound,None,,,127,3.61,115.5,3.06,3629.64,Compound,None,,,155,3.34,58.3,4.59,3036.1,Compound,None,,,183,2.67,135.1,4.21,6489.68,Compound,None,,,211,2.31,402.6,2.73,11959.41,Compound,None,,,239,1.98,121.5,4.15,5416.89,Compound,None,,,267,1.26,50.7,3.05,1681.65,Impurity,None,,,295,0.92,561.4,3.22,21673.76,Compound,None,,
16,7.32,156.2,5.68,9735.08,Compound,None,,,44,5.46,36.4,9.9,3320,Compound,None,,,72,4.21,48.1,8.29,4453.64,Compound,None,,,100,3.83,752.8,4.96,43764.91,Compound,None,,,128,3.6,302.6,2.96,9789.09,Compound,None,,,156,3.33,58.3,3.56,2249.14,Compound,None,,,184,2.66,200.7,5.1,11882.87,Compound,None,,,212,2.3,439.6,2.87,13667.88,Compound,None,,,240,1.97,89.2,4.62,4637.34,Compound,None,,,268,1.24,609.1,3,21146.93,Compound,None,,,296,0.92,215.5,3.26,7692.57,Compound,None,,
17,7.31,128.9,5.75,8059.17,Compound,None,,,45,5.44,130.6,10.48,16462.52,Compound,None,,,73,4.18,82.8,3.01,2797.17,Compound,None,,,101,3.83,1174.9,13.71,203715.04,Compound,None,,,129,3.6,431.1,4.91,25599.79,Compound,None,,,157,3.32,24.9,2.76,798.39,Impurity,Weak,,,185,2.65,83.2,3.64,3243.72,Compound,None,,,213,2.29,302.5,3.26,11876.16,Compound,None,,,241,1.91,4716.2,2.73,139160.07,Compound,None,,,269,1.21,53.9,3.99,2194.03,Compound,None,,,297,0.91,100,2.3,2428.64,Compound,None,,
18,7.29,25,8.97,2780.27,Impurity,Weak,,,46,5.4,644.3,6.1,50316.31,Compound,None,,,74,4.17,95.1,3.45,3795.4,Compound,None,,,102,3.82,811.7,10.32,103821.77,Compound,None,,,130,3.59,737.8,8.47,79959.89,Compound,None,,,158,3.31,31.9,3.43,1207.95,Impurity,Weak,,,186,2.64,112.2,4.76,6069.69,Compound,None,,,214,2.28,268.4,2.73,8263.04,Compound,None,,,242,1.89,155.8,4.6,8427.08,Compound,None,,,270,1.19,2342.7,2.97,79437.77,Compound,None,,,298,0.9,59.9,3.05,1620.23,Compound,None,,
19,7.19,91.5,5.36,5458.03,Compound,None,,,47,5.4,802.1,6.96,71772.9,Compound,None,,,75,4.17,116.4,3.34,4298.17,Compound,None,,,103,3.81,610.7,7.39,52218.58,Compound,None,,,131,3.58,310.7,4.59,15776.59,Compound,None,,,159,3.28,315,4.1,14072.9,Compound,None,,,187,2.62,21.3,3.56,847.96,Impurity,Weak,,,215,2.27,22.6,2.08,535.03,Impurity,Weak,,,243,1.88,75.8,4.79,4224.09,Compound,None,,,271,1.19,2358.1,3.01,80769.96,Compound,None,,,299,0.89,165.4,3.71,6472.16,Compound,None,,
20,7.18,110.9,6.52,8275.13,Compound,None,,,48,5.27,63.2,7.66,5336.4,Compound,None,,,76,4.16,245.8,3.5,9445.77,Compound,None,,,104,3.8,305.9,3.39,10841.02,Compound,None,,,132,3.57,526.1,5.24,31300.41,Compound,None,,,160,3.27,552.5,4.67,26776.1,Compound,None,,,188,2.6,175.8,2.97,6068.48,Compound,None,,,216,2.27,109.1,3.76,4904.15,Compound,None,,,244,1.86,39.3,3.84,1562.56,Impurity,Weak,,,272,1.17,137.6,2.46,3838.14,Compound,None,,,300,0.88,284.1,3.27,10592.78,Compound,None,,
21,7.14,28.5,17.33,6405.07,Compound,None,,,49,5.26,86.4,6.47,6896.89,Compound,None,,,77,4.15,343.2,3.44,12744.98,Compound,None,,,105,3.8,303.3,3.24,10773.75,Compound,None,,,133,3.57,646.5,4.04,28911.94,Compound,None,,,161,3.25,2207.3,5.34,139387.14,Compound,None,,,189,2.6,179.2,3.02,6304.19,Compound,None,,,217,2.26,66.3,3.86,2922.18,Compound,None,,,245,1.82,30.3,2.61,919.98,Impurity,Weak,,,273,1.16,66.2,2.6,2098.83,Compound,None,,,301,0.87,151.9,3.42,6036.16,Compound,None,,
22,7.12,25.9,4.37,1446.16,Impurity,Weak,,,50,5.23,785.1,4.49,40748.58,Compound,None,,,78,4.14,353.1,3.59,13761.36,Compound,None,,,106,3.78,839,6.7,69930.34,Compound,None,,,134,3.56,201.3,2.32,4886.99,Compound,None,,,162,3.24,324,2.95,10109.97,Compound,None,,,190,2.52,25.2,2.75,790.99,Impurity,Weak,,,218,2.25,37.9,3.39,1507.21,Impurity,Weak,,,246,1.79,46.2,3.51,1651.54,Impurity,None,,,274,1.14,60.4,3.85,2676.06,Impurity,None,,,302,0.58,34.3,7.59,2568.98,Impurity,None,,
23,7.02,43.2,6.78,3021.36,Impurity,None,,,51,5.22,683.4,3.92,29555.76,Compound,None,,,79,4.13,169.4,3.33,6193.68,Compound,None,,,107,3.77,1737.5,6.49,130190.95,Compound,None,,,135,3.55,529.8,4.58,23862.01,Compound,None,,,163,3.23,734.6,4.18,30996.25,Compound,None,,,191,2.51,46.9,3.01,1655.4,Compound,None,,,219,2.23,39.6,2.2,946.72,Compound,None,,,247,1.78,46.9,4.06,2020.25,Impurity,None,,,275,1.13,44,2.89,1428.92,Compound,None,,,,,,,,,,,
24,7,32.4,9.75,2641.19,Impurity,None,,,52,5.2,117.8,9.8,9976.49,Compound,None,,,80,4.12,83.1,4.89,4635.19,Compound,None,,,108,3.76,1085.7,4.18,52232.61,Compound,None,,,136,3.54,73.8,1.89,1637.9,Compound,None,,,164,3.22,391.6,3.78,17900.52,Compound,None,,,192,2.5,77.4,13.2,13005.61,Compound,None,,,220,2.22,377.8,2.62,11188.75,Compound,None,,,248,1.78,39.2,5.07,2148.88,Impurity,None,,,276,1.12,278.8,2.61,8108.82,Compound,None,,,,,,,,,,,
25,6.89,119.7,7.67,10558.8,Compound,None,,,53,5.19,1315.2,5.16,81455.47,Compound,None,,,81,4.11,136,3.01,4585.25,Compound,None,,,109,3.75,2467.8,13.35,418712.61,Compound,None,,,137,3.53,237.5,3.04,8128.84,Compound,None,,,165,3.22,213.6,5.26,13007.09,Compound,None,,,193,2.49,31.3,2.46,892.84,Compound,Weak,,,221,2.21,44.5,3.23,1585.11,Compound,None,,,249,1.74,44.7,4.54,2149.01,Impurity,None,,,277,1.11,288.5,2.61,8414.59,Compound,None,,,,,,,,,,,
26,6.88,87.6,5.27,5133.29,Compound,None,,,54,5.18,1063.7,4.13,49606.88,Compound,None,,,82,4.1,184,3.56,7529.17,Compound,None,,,110,3.75,530.5,3.69,22393.32,Compound,None,,,138,3.53,297.6,3.03,9829.34,Compound,None,,,166,3.19,31.2,3.81,1292.82,Impurity,Weak,,,194,2.48,67.3,4.95,4239.14,Compound,None,,,222,2.18,51.9,3.24,1982.19,Impurity,None,,,250,1.73,57.4,3.21,2040.61,Impurity,None,,,278,1.09,200.1,2.73,6192.78,Compound,None,,,,,,,,,,,
27,6.66,38.6,4.53,1889.37,Impurity,None,,,55,5.11,39.1,4.11,1848.3,Impurity,None,,,83,4.09,57.1,3.28,1957.32,Compound,None,,,111,3.74,170.9,2.25,3751.59,Compound,None,,,139,3.52,173.5,3.07,5969.79,Compound,None,,,167,3.18,26.5,3.56,1075.93,Impurity,Weak,,,195,2.47,32,2.48,856.37,Impurity,Weak,,,223,2.17,49.8,3.01,1716.3,Impurity,None,,,251,1.72,218.5,12.95,36644.19,Compound,None,,,279,1.08,203.9,2.74,6206.15,Compound,None,,,,,,,,,,,
28,6.64,32.7,4.69,1529.7,Impurity,Weak,,,56,5.02,29.6,6.93,2350.53,Impurity,Weak,,,84,4.05,95.8,6,6378.94,Compound,None,,,112,3.74,139.7,2.08,3075.72,Compound,None,,,140,3.52,386.4,4.21,19078.25,Compound,None,,,168,3.17,36.8,3.6,1421.74,Impurity,Weak,,,196,2.44,140,3.34,5227.41,Compound,None,,,224,2.15,33.8,2.61,1004.42,Compound,Weak,,,252,1.71,82.8,4.3,3969.87,Compound,None,,,280,1.06,77.1,4.16,3361,Compound,None,,,,,,,,,,,
