,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.93,12.2,7.12,1039.12,Compound,None,,,30,4.36,50.4,66.91,43649.34,Compound,None,,,59,3.64,745.2,8.18,65529.41,Compound,None,,,88,3.12,31.2,10.45,4215.85,Compound,None,,,117,2.27,94.2,19.27,23511.97,Compound,None,,,146,1.14,23.6,5.48,1380.13,Compound,None,,
2,8.44,445.5,3.58,18315.9,Compound,None,,,31,4.24,37.8,13.94,6661.81,Compound,None,,,60,3.62,64.3,4.91,3380.09,Compound,None,,,89,3.01,34.5,5.07,1889.51,Compound,None,,,118,2.23,24.6,3.04,829.9,Compound,None,,,147,1.13,17.2,3.61,668.33,Compound,None,,
3,8.17,15.1,96.27,17213.44,Compound,None,,,32,4.16,113.9,4.41,5541.22,Compound,None,,,61,3.6,102.1,4.81,5600.57,Compound,None,,,90,3,81.2,5.46,5441.35,Compound,None,,,119,2.22,295.2,3.62,11882.72,Compound,None,,,148,1.12,91.7,3.71,3782.98,Compound,None,,
4,7.87,41.3,10.8,4511.61,Compound,None,,,33,4.15,229.5,4.9,12603.11,Compound,None,,,62,3.59,229.2,10.21,28430.03,Compound,None,,,91,2.92,18,7.84,1828.77,Compound,None,,,120,2.18,29.6,4.06,1293.43,Compound,None,,,149,1.11,96.3,3.58,3754.93,Compound,None,,
5,7.52,19,16.39,3948.67,Compound,None,,,34,4.14,231,4.85,12655.7,Compound,None,,,63,3.58,413.8,16.74,88819.35,Compound,None,,,92,2.82,53.7,14.32,7968.19,Compound,None,,,121,2.16,54.9,13.1,7309.7,Compound,None,,,150,1.09,62.8,3.9,2648.18,Compound,None,,
6,7.42,95.7,18.71,16698.01,Compound,None,,,35,4.13,117.3,4.96,6697.42,Compound,None,,,64,3.57,396.7,10.9,55976.73,Compound,None,,,93,2.79,70,10.57,8254.73,Compound,None,,,122,2.13,132.9,9.28,15972.75,Compound,None,,,151,1.08,61,3.94,2695.42,Compound,None,,
7,7.37,47.9,19.79,7926.56,Compound,None,,,36,4.09,16.6,5.88,1118.58,Compound,None,,,65,3.56,75.5,3.4,2713.97,Compound,None,,,94,2.74,42.6,24.68,13616.4,Compound,None,,,123,2.12,175.6,17.4,35929.98,Compound,None,,,152,1.06,50.8,3.58,2020.93,Compound,None,,
8,7.32,98.7,11.62,12459.24,Compound,None,,,37,3.96,96.8,6.16,6628.94,Compound,None,,,66,3.55,168.8,6.76,13255.8,Compound,None,,,95,2.67,43.5,6.59,3237.66,Compound,None,,,124,2.06,155.9,10.35,20881.07,Compound,None,,,153,1.05,66.4,3.73,2645.9,Compound,None,,
9,7.18,54.5,17.72,8074.94,Compound,None,,,38,3.94,79.1,6.62,5951.41,Compound,None,,,67,3.54,93.7,4.95,5354.81,Compound,None,,,96,2.66,46.3,5.92,2951.65,Compound,None,,,125,2.05,268.1,10.85,37653.58,Compound,None,,,154,1.03,518.3,6.61,38324.58,Compound,None,,
10,7.02,22.4,10.7,2622.11,Compound,None,,,39,3.92,124.3,10.05,13281.64,Compound,None,,,68,3.53,60.3,4.45,2786.41,Compound,None,,,97,2.65,25.7,4.75,1324.69,Compound,None,,,126,2.04,109.3,7.65,10322.61,Compound,None,,,155,1.03,471,6.23,32477.39,Compound,None,,
11,7,18.3,8.65,1842.16,Compound,None,,,40,3.9,350.2,6.68,24184.64,Compound,None,,,69,3.53,68.7,3.85,2820.26,Compound,None,,,98,2.64,48.5,10.85,6389.51,Compound,None,,,127,2.03,80.5,6.99,6803.09,Compound,None,,,156,1,237.5,6.46,16139.48,Compound,None,,
12,6.89,65.6,17.53,12346.16,Compound,None,,,41,3.89,284,8.08,24736.88,Compound,None,,,70,3.52,113.5,7.09,8295.94,Compound,None,,,99,2.6,56.4,4.02,2526.47,Compound,None,,,128,1.98,112.7,32.62,44228.35,Compound,None,,,157,0.99,185.9,5.16,9813.24,Compound,None,,
13,6.66,13.1,7.56,1237.3,Compound,None,,,42,3.86,636.7,12.63,85383.92,Compound,None,,,71,3.49,66.7,4.32,3011.16,Compound,None,,,100,2.6,60.3,4.65,3167.9,Compound,None,,,129,1.91,1058.2,3.62,43588.76,Compound,None,,,158,0.98,523.5,8.23,53921.52,Compound,None,,
14,6.51,27,6.14,1928.28,Compound,None,,,43,3.85,1338,9.71,149857.72,Compound,None,,,72,3.48,209.4,4.84,10989.45,Compound,None,,,101,2.5,31,19.41,7103.73,Compound,None,,,130,1.89,84.1,9.3,10125.59,Compound,None,,,159,0.97,392,5.67,24494.99,Compound,None,,
15,6.46,15.2,4.9,825.25,Compound,None,,,44,3.83,611.3,23.19,183577.2,Compound,None,,,73,3.47,143.9,4.88,7771.28,Compound,None,,,102,2.44,38.2,4.09,1675.62,Compound,None,,,131,1.79,27.7,4.51,1272.28,Compound,None,,,160,0.96,281.4,6.09,19544.32,Compound,None,,
16,6.44,14.3,6.11,841.25,Compound,None,,,45,3.81,492.3,16.38,82346.82,Compound,None,,,74,3.46,437.2,11.28,59763.77,Compound,None,,,103,2.43,73.6,4.17,3402.64,Compound,None,,,132,1.78,32.2,4.66,1620.61,Compound,None,,,161,0.95,660.7,10.22,76886.42,Compound,None,,
17,6.28,16.9,23.61,4493.3,Compound,None,,,46,3.77,871.3,12.02,111528.71,Compound,None,,,75,3.44,588.4,7.88,53684.62,Compound,None,,,104,2.41,216.6,5.49,14359.25,Compound,None,,,133,1.71,160.1,26.42,54750.08,Compound,None,,,162,0.94,310.3,6.85,24570.42,Compound,None,,
18,5.9,20.2,4.72,1093.16,Compound,None,,,47,3.76,761.7,15.64,154268.7,Compound,None,,,76,3.43,321.3,8.22,28435.14,Compound,None,,,105,2.4,225.2,4.2,10290.46,Compound,None,,,134,1.68,28.8,6.21,2087.24,Compound,None,,,163,0.93,371,44.96,216014.39,Compound,None,,
19,5.83,17.6,6.06,1341.78,Compound,None,,,48,3.75,603,8.47,61102.37,Compound,None,,,77,3.42,375.8,6.86,28068.9,Compound,None,,,106,2.4,426.2,4.8,23129.55,Compound,None,,,135,1.53,75.6,28.94,20612.1,Compound,None,,,164,0.93,87.3,6.78,4947.18,Compound,None,,
20,5.55,17.3,5.82,1064.46,Compound,None,,,49,3.75,309.9,7.79,27112.92,Compound,None,,,78,3.4,306.9,6.53,19838.24,Compound,None,,,107,2.39,328.3,4.84,18703.02,Compound,None,,,136,1.47,535.3,9.12,56158.55,Compound,None,,,165,0.92,174.3,5.92,13356.81,Compound,None,,
21,5.43,55.1,14.45,9827.5,Compound,None,,,50,3.74,31.7,2.64,776.46,Compound,None,,,79,3.39,222.2,6.4,16170.52,Compound,None,,,108,2.37,20,3.77,674.35,Compound,None,,,137,1.46,577.8,7.93,52599.34,Compound,None,,,166,0.91,42.2,3.1,1470.66,Compound,None,,
22,5.4,500.6,12.9,69963.34,Compound,None,,,51,3.72,548.9,29.36,208709.42,Compound,None,,,80,3.38,33.8,3.71,1400.63,Compound,None,,,109,2.36,223.4,4.19,9488.45,Compound,None,,,138,1.31,415.9,38.63,208032.98,Compound,None,,,167,0.89,49.4,4.17,2263.52,Compound,None,,
23,5.22,328.6,9.61,32579.45,Compound,None,,,52,3.7,262.4,5.08,14671.61,Compound,None,,,81,3.35,155.1,3.25,5757.34,Compound,None,,,110,2.35,333,11.49,45297.87,Compound,None,,,139,1.31,61.7,7.07,5613.46,Compound,None,,,168,0.88,93.5,4.54,4760.49,Compound,None,,
24,5.18,515.3,11.3,58576.31,Compound,None,,,53,3.69,136.3,4.67,6468.99,Compound,None,,,82,3.34,30.6,7.77,2794.61,Compound,None,,,111,2.34,298.1,10.54,36368.22,Compound,None,,,140,1.26,25.9,3.77,1026.89,Compound,None,,,169,0.87,75.6,5.39,4700.57,Compound,None,,
25,5.11,34.6,22.54,8899.02,Compound,None,,,54,3.68,128.1,4.76,5851.13,Compound,None,,,83,3.28,88.7,6.44,6452.46,Compound,None,,,112,2.33,133.5,5.59,8852.71,Compound,None,,,141,1.24,578.3,4.54,29893.55,Compound,None,,,170,0.58,29.6,9.12,2838.55,Compound,None,,
26,4.64,59.9,6.79,4743.5,Compound,None,,,55,3.66,1146.7,4.12,52746.91,Compound,None,,,84,3.27,244.2,10.05,31401.16,Compound,None,,,113,2.31,289.7,4.19,13606.34,Compound,None,,,142,1.19,1589.2,4.53,81763.61,Compound,None,,,,,,,,,,,
27,4.63,37.3,6.54,2423.31,Compound,None,,,56,3.66,157.8,4.45,7767.66,Compound,None,,,85,3.25,761.4,10.23,84985.89,Compound,None,,,114,2.3,334.5,4.15,15333.24,Compound,None,,,143,1.19,1684.8,4.74,91229.04,Compound,None,,,,,,,,,,,
