,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.44,141,8.67,14571.84,Compound,None,,,27,3.82,113.2,16.61,18978.25,Compound,None,,,53,2.12,266.7,33.47,101945.98,Compound,None,,
2,8.23,17.5,271.24,59989.94,Compound,None,,,28,3.76,1714,59.96,1324883.13,Compound,None,,,54,2.05,332.1,39.6,152009.65,Compound,None,,
3,7.86,39.2,25.26,11684.94,Impurity,None,,,29,3.66,943.2,23.71,266479.37,Compound,None,,,55,1.91,909.4,9.08,94431.18,Compound,None,,
4,7.52,26,48.53,16328.02,Compound,None,,,30,3.64,581.5,20.75,123902.32,Compound,None,,,56,1.78,15.4,16.42,2574.9,Artifact,Weak,,
5,7.42,72.1,31.57,26540.08,Compound,None,,,31,3.58,570.2,49.27,349993.83,Compound,None,,,57,1.71,148,44,65079.02,Compound,None,,
6,7.37,34.4,26.05,10158.45,Impurity,None,,,32,3.56,369.1,120.17,511689.88,Compound,None,,,58,1.46,559.2,25.25,150271.14,Compound,None,,
7,7.32,66.8,28.22,21855.5,Compound,None,,,33,3.45,842.1,45.02,437805.04,Compound,None,,,59,1.36,58.2,356.39,173427.65,Compound,None,,
8,7.18,36.8,29.15,11570.76,Impurity,None,,,34,3.41,280.6,27.41,78669.36,Compound,None,,,60,1.32,218.5,15.39,42864.08,Compound,None,,
9,7.14,17.8,24.79,5014.38,Impurity,Weak,,,35,3.35,25.4,4.94,1303.38,Impurity,Weak,,,61,1.31,362.2,17.61,76874.93,Compound,None,,
10,7.02,21.7,24.77,5702.1,Impurity,Weak,,,36,3.25,464.3,39.02,185522.65,Compound,None,,,62,1.28,153.2,64.86,113018.55,Compound,None,,
11,6.89,50.6,33.52,19798.86,Compound,None,,,37,3,101.4,20.88,23035.65,Compound,None,,,63,1.24,216.2,11.74,28629.85,Compound,None,,
12,6.65,24.1,24.06,6268.61,Impurity,Weak,,,38,2.8,35.1,22.89,9419.29,Impurity,None,,,64,1.19,783.3,12.3,109915.63,Compound,None,,
13,6.51,23.4,22.91,6940.65,Impurity,Weak,,,39,2.64,17.7,36.96,8494.44,Impurity,Weak,,,65,1.19,653.8,11.45,88276.82,Compound,None,,
14,6.46,19.5,13.9,3338.93,Impurity,Weak,,,40,2.6,41.9,12.5,4924.85,Impurity,None,,,66,1.12,53.3,8.63,5219.3,Impurity,None,,
15,6.27,12.9,29.48,3366.56,Artifact,Weak,,,41,2.49,24.6,21.74,4615.08,Impurity,Weak,,,67,1.11,44.1,7.45,3713.19,Impurity,None,,
16,5.9,67.9,29.55,20890.8,Compound,None,,,42,2.42,150.2,23.56,45816.77,Compound,None,,,68,1.09,21.7,5.69,1297.22,Impurity,Weak,,
17,5.83,40,27.07,10430.03,Impurity,None,,,43,2.41,116.6,12.72,17972.72,Compound,None,,,69,1.09,38.4,9.35,4087.16,Impurity,None,,
18,5.55,24,17.5,4669.81,Impurity,Weak,,,44,2.4,250.2,13.32,37660.15,Compound,None,,,70,1.03,333.2,19.05,64883.13,Compound,None,,
19,5.4,266.5,24.05,73245.38,Compound,None,,,45,2.39,137.6,11.24,17537.57,Compound,None,,,71,0.98,406.3,50.18,264023.27,Compound,None,,
20,5.22,136.7,25.24,44683.97,Compound,None,,,46,2.36,347.1,11.58,48685.3,Compound,None,,,72,0.95,570.8,35.83,257896.84,Compound,None,,
21,5.19,184.4,19.89,40188.32,Compound,None,,,47,2.35,446.9,20.87,96333.52,Compound,None,,,73,0.93,183.5,16.07,35694.74,Compound,None,,
22,4.52,17,21.34,3571.62,Impurity,Weak,,,48,2.31,112.2,16.32,23716.76,Compound,None,,,74,0.92,171.7,13.87,28594.2,Compound,None,,
23,4.25,57.5,32.31,18580.04,Compound,None,,,49,2.3,154,25.17,43613.1,Compound,None,,,75,0.88,141.5,27.5,40647.27,Compound,None,,
24,4.15,224.5,38.97,102467.56,Compound,None,,,50,2.28,76.2,16.04,15831.72,Compound,None,,,76,0.58,15.1,16.06,2862.24,Artifact,Weak,,
25,3.9,789.6,205.27,1964861.46,Compound,None,,,51,2.27,27.1,14.17,4981,Impurity,Weak,,,,,,,,,,,
26,3.85,1351,39.23,667457.31,Compound,None,,,52,2.22,149.8,8.99,15471.78,Compound,None,,,,,,,,,,,
