,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
16,6.46,21.2,5.3,1164.83,Compound,None,,,45,4.18,24.4,6.11,1931.36,Compound,None,,,74,3.65,843.5,12.99,104148.31,Compound,None,,,103,3.24,110,4.49,5395.46,Compound,None,,,132,2.36,569.6,4.29,27937.99,Compound,None,,,161,1.79,27.4,4.03,1308.76,Compound,None,,,190,0.97,455.9,5.59,28031.15,Compound,None,,
17,6.44,22.1,8.09,1888.99,Compound,None,,,46,4.17,39.9,4.83,2208.03,Compound,None,,,75,3.64,890.8,8.31,81128.89,Compound,None,,,104,3.23,292.8,6.37,21095.68,Compound,None,,,133,2.35,460.5,11.05,59940.45,Compound,None,,,162,1.78,29.8,5,1731.7,Compound,None,,,191,0.96,365.1,6.45,27084.78,Compound,None,,
18,6.27,20.1,28.37,5977.87,Compound,None,,,47,4.16,113.3,4.65,5761.65,Compound,None,,,76,3.62,79.9,5.33,4474.65,Compound,None,,,105,3.22,204,10.84,24998.19,Compound,None,,,134,2.34,425.5,10.23,50003.53,Compound,None,,,163,1.72,152,20.24,39833.04,Compound,None,,,192,0.95,811.3,9.81,91678.73,Compound,None,,
19,6.05,14.9,5.4,965.92,Compound,None,,,48,4.15,205.1,4.98,11438.35,Compound,None,,,77,3.6,113.5,5.07,6574.87,Compound,None,,,106,3.12,35.2,11.52,4864.46,Compound,None,,,135,2.33,195,6.41,15031.65,Compound,None,,,164,1.7,15.2,3.33,597.14,Compound,None,,,193,0.94,492.1,7.99,46210.59,Compound,None,,
20,6.03,11.8,4.88,520.55,Compound,None,,,49,4.14,201.7,4.87,10865.61,Compound,None,,,78,3.6,198.6,7.43,16859.61,Compound,None,,,107,3.04,23.2,19.04,5309.34,Compound,None,,,136,2.32,20.5,5.7,1334.56,Compound,None,,,165,1.69,133.4,33.06,37531.04,Compound,None,,,194,0.93,227.6,4.34,11475.98,Compound,None,,
21,5.9,75.7,20.82,17038.26,Compound,None,,,50,4.13,107.5,5.54,6799.86,Compound,None,,,79,3.58,602.8,16.06,112123.23,Compound,None,,,108,3.01,74.5,7.19,6429.72,Compound,None,,,137,2.31,256.2,4.26,12086.62,Compound,None,,,166,1.53,85.5,30.75,26552.47,Compound,None,,,195,0.93,240.6,8.52,25298.08,Compound,None,,
22,5.89,33.6,7.05,2778.06,Compound,None,,,51,4.11,14.1,3.75,543.46,Compound,None,,,80,3.57,297.1,8.86,31066.11,Compound,None,,,109,3,138.8,6.01,9935.21,Compound,None,,,138,2.3,267.7,4.29,12876.13,Compound,None,,,167,1.47,714.1,8.41,68721.96,Compound,None,,,196,0.92,404.2,7.12,36850.44,Compound,None,,
23,5.83,50.8,20.91,13162.39,Compound,None,,,52,4.05,15.2,6.23,835.45,Compound,None,,,81,3.57,327.5,6.41,24717.62,Compound,None,,,110,2.99,61.6,5.05,3527.62,Compound,None,,,139,2.29,179.2,4.47,9328.12,Compound,None,,,168,1.46,842.1,8.54,84674.88,Compound,None,,,197,0.91,49.6,3.58,1915.23,Compound,None,,
24,5.63,18.4,13.48,2831.52,Compound,None,,,53,3.96,97.2,5.97,6271.18,Compound,None,,,82,3.56,75,3.48,2737.1,Compound,None,,,111,2.93,17.4,4.62,871.26,Compound,None,,,140,2.28,179.7,4.54,9381.17,Compound,None,,,169,1.32,315.3,6.19,19608.59,Compound,None,,,198,0.9,36.8,4.48,1531.21,Compound,None,,
25,5.55,15.3,6.07,1109.1,Compound,None,,,54,3.94,93.4,6.41,6437.03,Compound,None,,,83,3.55,329.6,8.32,33110.75,Compound,None,,,112,2.92,26.5,6.41,1959.31,Compound,None,,,141,2.27,96.4,10.29,12850.54,Compound,None,,,170,1.31,635.8,11.9,88892.75,Compound,None,,,199,0.89,105.5,5.66,6983.39,Compound,None,,
26,5.43,51.8,10.39,6048.71,Compound,None,,,55,3.92,247.2,23.92,76589.89,Compound,None,,,84,3.54,59.9,4.82,3737.35,Compound,None,,,113,2.82,69.6,11.41,7581.99,Compound,None,,,142,2.23,20.7,2.93,700.31,Compound,None,,,171,1.28,279.2,93.48,338046.96,Compound,None,,,200,0.88,171.3,4.95,9757.78,Compound,None,,
27,5.4,390,11.02,53709.11,Compound,None,,,56,3.9,416.4,6.91,29645.78,Compound,None,,,85,3.53,116.1,15.34,23072.17,Compound,None,,,114,2.79,92.8,11.68,10978.05,Compound,None,,,143,2.22,513.5,3.75,21544.17,Compound,None,,,172,1.24,1676.4,4.74,91456.96,Compound,None,,,201,0.87,110.9,5.9,7684.82,Compound,None,,
28,5.4,335.7,10.01,42093.7,Compound,None,,,57,3.89,331.2,8.43,30416.85,Compound,None,,,86,3.53,80.6,6.68,6965.25,Compound,None,,,115,2.74,58.3,16.18,12060.7,Compound,None,,,144,2.18,33,4.02,1513.08,Compound,None,,,173,1.19,1513.6,4.88,85091.85,Compound,None,,,202,0.58,23.6,9.51,2458.62,Compound,None,,
29,5.27,32.8,10.04,3711.48,Compound,None,,,58,3.86,694,11.52,83166.14,Compound,None,,,87,3.52,121.2,6.13,7560.28,Compound,None,,,116,2.67,55.8,6.41,3864.71,Compound,None,,,145,2.17,43.1,6.19,3295.8,Compound,None,,,174,1.19,1562.3,5.01,89908.29,Compound,None,,,,,,,,,,,
