,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.93,14.2,7.96,1301.71,Compound,None,,,28,5.11,53.8,32.62,20604.05,Compound,None,,,55,3.69,130.9,5.63,7623.18,Compound,None,,,82,3.12,25.1,15.27,3544.09,Compound,None,,,109,2.27,74.9,6.94,6145.84,Compound,None,,,136,1.14,17.7,4.5,879.66,Compound,None,,
2,8.44,290.1,4.4,14800.85,Compound,None,,,29,4.64,47.1,16.83,9796.73,Compound,None,,,56,3.68,143.1,5.8,8462.78,Compound,None,,,83,3,160.7,9.71,20201.39,Compound,None,,,110,2.22,176.9,4.5,8854.98,Compound,None,,,137,1.12,157.3,4.4,7693.93,Compound,None,,
3,8.2,19.2,153.77,34785.32,Compound,None,,,30,4.52,44.8,20.59,9208.53,Compound,None,,,57,3.66,810.7,5.02,46733.6,Compound,None,,,84,2.99,50,5.07,2999.13,Compound,None,,,111,2.17,22.5,5.3,1360.99,Compound,None,,,138,1.11,155.4,4.4,7531.47,Compound,None,,
4,7.87,54.5,11.61,6832.44,Compound,None,,,31,4.45,21.9,16.28,3941.32,Compound,None,,,58,3.65,987.6,16.96,188911.73,Compound,None,,,85,2.92,25.6,14.32,4629.4,Compound,None,,,112,2.13,184.8,16.47,39419.46,Compound,None,,,139,1.09,89.5,4.77,4653.97,Compound,None,,
5,7.52,24.9,24.24,6495.55,Compound,None,,,32,4.37,41.9,23.9,10658.52,Compound,None,,,59,3.63,693.3,8.61,65296.93,Compound,None,,,86,2.82,51,11.3,5593,Compound,None,,,113,2.11,172.1,15.99,27869.73,Compound,None,,,140,1.08,83.1,4.52,4139.13,Compound,None,,
6,7.47,14.8,8.56,1643.19,Compound,None,,,33,4.32,17.6,7.49,1305.48,Compound,None,,,60,3.6,104.4,8.68,7570.51,Compound,None,,,87,2.79,74.1,12.36,9947.01,Compound,None,,,114,2.06,150.1,10.64,20691.41,Compound,None,,,141,1.06,42.5,4.22,1908.77,Compound,None,,
7,7.42,89.9,21.64,18749.79,Compound,None,,,34,4.25,101.9,25.95,25905.99,Compound,None,,,61,3.58,466.4,17.15,94709.77,Compound,None,,,88,2.74,53.5,24.03,16413.47,Compound,None,,,115,2.05,283.4,13.09,48026.51,Compound,None,,,142,1.05,54.6,3.99,2261.83,Compound,None,,
8,7.37,46.8,21.16,10091.31,Compound,None,,,35,4.16,101.9,5.26,6227.62,Compound,None,,,62,3.57,504.8,23.48,153492.96,Compound,None,,,89,2.67,37,6.3,2552.82,Compound,None,,,116,2.04,131.5,9.74,16585.7,Compound,None,,,143,1.03,509.2,8.24,47856.11,Compound,None,,
9,7.32,90.8,22.35,22637.28,Compound,None,,,36,4.15,188.2,5.99,13125.27,Compound,None,,,63,3.55,76.9,5.03,4420.11,Compound,None,,,90,2.66,55.5,9.3,6090.83,Compound,None,,,117,2.03,73.1,8.48,7096.58,Compound,None,,,144,1.03,431.6,7.65,36555.52,Compound,None,,
10,7.18,58.8,20.05,12451.38,Compound,None,,,37,4.14,171.9,5.61,11269.2,Compound,None,,,64,3.53,48.6,4.63,2356.68,Compound,None,,,91,2.64,57.1,16.51,11622.91,Compound,None,,,118,1.98,168.8,37.77,78954.95,Compound,None,,,145,1,198.3,7.35,15189.17,Compound,None,,
11,7.02,28.8,9.64,2689.55,Compound,None,,,38,4.13,160.1,22.76,47192.58,Compound,None,,,65,3.52,78.1,6.98,5717.9,Compound,None,,,92,2.6,86.4,5.1,5028.85,Compound,None,,,119,1.91,1317.5,4.5,67536.96,Compound,None,,,146,0.99,156.8,6.14,9515.33,Compound,None,,
12,7,26.7,12.55,3772.66,Compound,None,,,39,4.09,16,6.81,1175.62,Compound,None,,,66,3.49,53.9,4.84,2739.24,Compound,None,,,93,2.6,89,5.09,4957.71,Compound,None,,,120,1.89,110.6,17.16,22822.48,Compound,None,,,147,0.98,394.8,7.8,34810.72,Compound,None,,
13,6.9,70.6,17.83,13160.34,Compound,None,,,40,3.96,83.8,6.55,5637.8,Compound,None,,,67,3.48,181.6,5.74,11005.26,Compound,None,,,94,2.5,50.6,25.95,14875.38,Compound,None,,,121,1.79,24.2,5.37,1340.62,Compound,None,,,148,0.97,307.2,6.99,24790.07,Compound,None,,
14,6.66,13.8,9.41,1661.57,Compound,None,,,41,3.94,108.6,11.63,15379.71,Compound,None,,,68,3.47,151.5,6.31,10877.28,Compound,None,,,95,2.44,70.7,5.81,4684.89,Compound,None,,,122,1.78,31.1,5.28,1895.5,Compound,None,,,149,0.96,135.7,10.15,17657.97,Compound,None,,
15,6.51,41.8,9.3,4496.51,Compound,None,,,42,3.92,272.6,28.21,99605.85,Compound,None,,,69,3.46,408.7,11.13,52274.83,Compound,None,,,96,2.43,128.3,5.55,8126.02,Compound,None,,,123,1.72,121.3,20.33,31237.86,Compound,None,,,150,0.95,389.8,11.64,55177.97,Compound,None,,
16,6.46,29.4,6.54,2148.09,Compound,None,,,43,3.9,325.9,7.59,25434.17,Compound,None,,,70,3.44,796.1,11.38,111076.26,Compound,None,,,97,2.42,214.8,7.92,20975.39,Compound,None,,,124,1.69,126.2,33.69,43223.84,Compound,None,,,151,0.94,569.2,51.87,354723.77,Compound,None,,
