,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
17,6.44,30.9,9.21,3418.93,Compound,None,,,44,3.89,167.8,7.63,14016.99,Compound,None,,,71,3.43,391.3,9.87,43270.23,Compound,None,,,98,2.4,218.5,5.17,12746.87,Compound,None,,,125,1.53,79.2,32.16,25978.34,Compound,None,,,152,0.93,177.1,6.58,15087.59,Compound,None,,
18,6.37,13,12.58,2125.06,Compound,None,,,45,3.86,496.9,12.13,65149.13,Compound,None,,,72,3.42,448.5,8.22,41065.22,Compound,None,,,99,2.4,465.1,6.75,36956.72,Compound,None,,,126,1.47,558.4,10,62517.15,Compound,None,,,153,0.92,223.2,5.54,14315.97,Compound,None,,
19,6.27,20.6,26.18,5770.67,Compound,None,,,46,3.85,1991.3,18.73,483117.06,Compound,None,,,73,3.4,390.4,7.74,30761.1,Compound,None,,,100,2.39,305.8,5.91,20764.69,Compound,None,,,127,1.46,601.5,9.92,67106.45,Compound,None,,,154,0.89,59,4.5,2926.09,Compound,None,,
20,6.05,13,7.04,1011.79,Compound,None,,,47,3.82,437.4,20.87,93070.81,Compound,None,,,74,3.39,258.6,8.49,23740.29,Compound,None,,,101,2.36,560.4,5.07,33617.83,Compound,None,,,128,1.32,136.9,7.11,9419.14,Compound,None,,,155,0.88,141.9,5.47,8724.7,Compound,None,,
21,5.9,101.2,23.42,22709.71,Compound,None,,,48,3.81,299.6,20.84,76849.42,Compound,None,,,75,3.38,20.4,4.26,772.12,Compound,None,,,102,2.35,449.2,11.75,61921.19,Compound,None,,,129,1.31,408,14.4,64462.09,Compound,None,,,156,0.87,114.9,20.5,28358.07,Compound,None,,
22,5.82,59.8,26.82,13415.93,Compound,None,,,49,3.8,49.4,3.92,1978.51,Compound,None,,,76,3.35,200.5,4.08,9531.22,Compound,None,,,103,2.34,337.5,9.24,34255.17,Compound,None,,,130,1.28,312.1,57.69,233183.99,Compound,None,,,157,0.58,24.5,9.29,2353.34,Compound,None,,
23,5.63,20.8,11.75,2935.21,Compound,None,,,50,3.77,1365.9,16.56,237814.41,Compound,None,,,77,3.28,96.7,8.23,9197.11,Compound,None,,,104,2.33,195.8,8.31,19684.73,Compound,None,,,131,1.24,369.9,5.52,23244.84,Compound,None,,,,,,,,,,,
24,5.55,15.7,8.42,1547.05,Compound,None,,,51,3.75,1204.7,17.3,219924.23,Compound,None,,,78,3.27,250,10.99,33978.94,Compound,None,,,105,2.31,250.1,5.14,14396.89,Compound,None,,,132,1.19,1437.8,5.68,94637.11,Compound,None,,,,,,,,,,,
25,5.4,607.6,15.06,106015.95,Compound,None,,,52,3.73,989.4,415.86,3898051.13,Compound,None,,,79,3.25,788.4,12.38,111412.31,Compound,None,,,106,2.3,270.7,5.01,15102.39,Compound,None,,,133,1.19,1497.2,5.74,98591.3,Compound,None,,,,,,,,,,,
26,5.22,332.9,11.27,38722.35,Compound,None,,,53,3.72,378.6,20.11,93293.44,Compound,None,,,80,3.23,205.2,7.02,16337.27,Compound,None,,,107,2.29,174.5,5.14,10015.11,Compound,None,,,134,1.17,81.6,4.62,4510.18,Compound,None,,,,,,,,,,,
27,5.18,593.1,13.52,87364.04,Compound,None,,,54,3.7,359.2,12.29,56168.81,Compound,None,,,81,3.22,148.7,12.28,19899.1,Compound,None,,,108,2.28,181.4,5.51,11345.76,Compound,None,,,135,1.16,59.5,7.19,5277.11,Compound,None,,,,,,,,,,,
