,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.44,183,6.46,13505.82,Compound,None,,,31,3.76,973.7,32.61,344068.46,Compound,None,,,61,2.22,139.3,7.98,13051.53,Compound,None,,
2,8.17,14.7,173.7,32692.2,Compound,None,,,32,3.75,329.6,26.17,109410.65,Compound,None,,,62,2.17,75,36.11,35082.57,Compound,None,,
3,7.86,34.7,24.3,9374.95,Compound,None,,,33,3.7,377.8,36.4,141186.18,Compound,None,,,63,2.12,213.1,29.45,69689.47,Compound,None,,
4,7.52,21.3,23.04,6076.09,Impurity,None,,,34,3.66,799.4,9.98,96131.15,Compound,None,,,64,2.05,283.7,38.08,124034.91,Compound,None,,
5,7.42,55.8,25.93,15423.77,Compound,None,,,35,3.64,562.5,24.55,132064.63,Compound,None,,,65,1.98,115,40.42,57447.48,Compound,None,,
6,7.37,29,23.64,7207.68,Impurity,None,,,36,3.58,762,107.81,958053.41,Compound,None,,,66,1.91,628.3,7.61,55019.93,Compound,None,,
7,7.32,57,27.01,18106.94,Compound,None,,,37,3.45,680.2,41.07,307727.4,Compound,None,,,67,1.78,13.1,9.71,1424.84,Artifact,Weak,,
8,7.18,31.3,24.08,7577.12,Impurity,None,,,38,3.4,295.1,25.78,67808.63,Compound,None,,,68,1.71,105.2,26.19,34643.67,Compound,None,,
9,7.14,13.6,22.19,3771.07,Artifact,Weak,,,39,3.35,46.2,5.36,2679.03,Impurity,None,,,69,1.68,73.2,29.74,21098.12,Compound,None,,
10,7.02,20,17.39,3710.9,Impurity,Weak,,,40,3.25,428.7,36.66,177047.66,Compound,None,,,70,1.53,59.5,41.11,27516.47,Compound,None,,
11,6.89,40.4,27.95,11886.24,Compound,None,,,41,3.12,18.1,19.98,4454.76,Impurity,Weak,,,71,1.46,399,23.15,93025.04,Compound,None,,
12,6.65,13,14.31,2079.68,Artifact,Weak,,,42,3,75.9,19.17,15823.73,Compound,None,,,72,1.31,328.5,38.08,162001.3,Compound,None,,
13,6.51,18.8,14.81,3240.33,Impurity,Weak,,,43,2.92,11.5,16.36,2173.88,Artifact,Weak,,,73,1.24,274.7,10.1,31839.63,Compound,None,,
14,6.46,17.1,9.6,2060.46,Impurity,Weak,,,44,2.8,43.5,29.17,16429.53,Compound,None,,,74,1.19,707.7,9.85,79995.35,Compound,None,,
15,6.44,16.5,10.06,1893.34,Impurity,Weak,,,45,2.73,16.5,28,5415.73,Impurity,Weak,,,75,1.19,671.7,9.6,75618.45,Compound,None,,
16,6.27,11.4,29.91,3797.25,Artifact,Weak,,,46,2.66,32.5,39.52,13875.72,Compound,None,,,76,1.12,44.9,7.77,3985.87,Impurity,None,,
17,5.9,68.4,24.26,15921.26,Compound,None,,,47,2.6,43,13.48,5549.43,Impurity,None,,,77,1.11,35.7,5.66,2319.65,Impurity,None,,
18,5.83,43.3,21.41,10213.82,Compound,None,,,48,2.49,27.5,29.24,8138.41,Compound,None,,,78,1.09,17.2,6.34,1141.54,Impurity,Weak,,
19,5.55,14.2,12.74,2053.91,Artifact,Weak,,,49,2.43,77.2,21.14,18192.74,Compound,None,,,79,1.08,24.8,7.18,1982.58,Impurity,Weak,,
20,5.4,258.7,21.4,65621.52,Compound,None,,,50,2.41,87.7,10.35,11113.14,Compound,None,,,80,1.05,38.4,8.74,4036.26,Impurity,None,,
21,5.22,127.4,17.81,27304.27,Compound,None,,,51,2.41,111.2,10.67,14387,Compound,None,,,81,1.03,265.5,16.61,41485.01,Compound,None,,
22,5.18,199.4,18.75,41462.95,Compound,None,,,52,2.4,201.6,10.56,24615.54,Compound,None,,,82,0.98,33.3,8.09,2720.43,Compound,None,,
23,5.11,16.5,29.7,6051.05,Impurity,Weak,,,53,2.39,150.2,9.82,16873.4,Compound,None,,,83,0.97,324.2,60.64,254582.06,Compound,None,,
24,4.52,20.6,21.83,4699.97,Impurity,Weak,,,54,2.36,151.6,11.2,21991.44,Compound,None,,,84,0.95,419.1,34.69,188292.07,Compound,None,,
25,4.25,63.3,27.44,18947.96,Compound,None,,,55,2.34,395.5,22.96,95253.59,Compound,None,,,85,0.93,138.1,12.8,21813.21,Compound,None,,
26,4.15,185.1,31.97,66059.43,Compound,None,,,56,2.31,123.9,9.41,13604.22,Compound,None,,,86,0.92,121.7,9.6,13636.05,Compound,None,,
27,3.9,66.8,9.28,7012.82,Impurity,None,,,57,2.3,146.1,10.21,17572.32,Compound,None,,,87,0.88,97.7,24.22,24329.72,Compound,None,,
28,3.86,839.2,189.99,1842416.2,Compound,None,,,58,2.29,84.3,9.39,9625.91,Compound,None,,,88,0.58,15.9,12.62,2251.56,Impurity,Weak,,
29,3.85,876.8,27.14,261264.18,Compound,None,,,59,2.28,88.5,9.73,10095.98,Compound,None,,,,,,,,,,,
30,3.82,269.6,23.18,69439.05,Compound,None,,,60,2.27,87,51.17,57627.06,Compound,None,,,,,,,,,,,
