,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.92,80,20.54,21343.7,Compound,None,,,27,1.49,408.1,3.54,16820.95,Compound,None,,
2,7.62,232.5,30.29,97760.31,Compound,None,,,28,1.47,155.9,3.61,5768.56,Impurity,None,,
3,7.24,179.1,5.9,10620.05,Compound,None,,,29,1.42,858.3,7.63,70875.49,Compound,None,,
4,7.22,1852.9,4.58,109210.72,Compound,None,,,30,1.38,1256.5,5.66,90741.3,Compound,None,,
5,7.11,212.1,5.67,16622.03,Compound,None,,,31,1.34,124.7,2.43,3567.02,Compound,None,,
6,7.09,1870.1,4.17,99920.41,Compound,None,,,32,1.32,339.8,3.79,16103.86,Compound,None,,
7,6.96,1847.3,4.3,98914.52,Compound,None,,,33,1.3,315.9,4.26,17238.1,Compound,None,,
8,6.52,1226.2,2.18,34361.15,Compound,None,,,34,1.28,280,3.86,13512.58,Compound,None,,
9,5.26,173.3,10.87,24190.06,Compound,None,,,35,1.26,711.5,9.93,96642.96,Compound,None,,
10,5.09,118.4,37.48,52435.49,Compound,None,,,36,1.25,3917.9,6.18,316755,Compound,None,,
11,4.42,124.3,2.8,5075.41,Compound,None,,,37,1.23,1226.3,3.56,57661.38,Compound,None,,
12,4.41,259.8,6.57,21644.58,Compound,None,,,38,1.19,155.8,2.28,3420.31,Impurity,None,,
13,4.4,126.7,2.35,3575.77,Compound,None,,,39,1.15,454.9,3.97,22106.83,Compound,None,,
14,2.19,522.6,2.7,18314.5,Compound,None,,,40,1.11,1066.2,1.62,24089.32,Compound,None,,
15,2.14,137.2,49.98,72718.3,Compound,None,,,41,1.04,16579.8,3.68,657626.04,Compound,None,,
16,2.08,375.7,1.66,9076.15,Compound,None,,,42,1.03,17488.5,4.07,842211.18,Compound,None,,
17,2.06,206.8,30.62,92254.04,Compound,None,,,43,1.01,1497.6,2.33,39823.86,Compound,None,,
18,2.04,161.1,12.46,27171.07,Compound,None,,,44,1,333.5,2.42,7593.78,Compound,None,,
19,1.91,884.2,1.44,17190.62,Compound,None,,,45,1,1640,2.32,45712.67,Compound,None,,
20,1.88,281.1,33.21,118392.45,Compound,None,,,46,0.87,502.3,8.04,58870.51,Compound,None,,
21,1.85,145.6,23.41,37280.98,Compound,None,,,47,0.86,725.6,3.18,32018.77,Compound,None,,
22,1.65,199.5,8.43,23934.32,Compound,None,,,48,0.84,557.7,9.96,76081.37,Compound,None,,
23,1.62,107.1,13.76,16859.85,Compound,None,,,49,0.81,134.6,2.29,3748.34,Impurity,None,,
24,1.54,310.6,4.04,14517.64,Compound,None,,,50,0.81,187.6,10.21,27812.92,Compound,None,,
25,1.52,843.6,7.69,94537.46,Compound,None,,,51,0.79,116.8,1.9,3238.65,Impurity,None,,
26,1.5,819.7,6.9,72088.01,Compound,None,,,52,0.07,328.9,2.45,9932.21,Compound,None,,
