Core,treatment
W300_UB4,UB
W300_UB2,UB
W300_UB1,UB
W300_LB4,LB
W300_LB2,LB
W300_LB1,LB
W300_HB4,HB
W300_HB3,HB
W300_HB2,HB
W300_C4,C
CSD_UB4,UB
CSD_UB2,UB
CSD_UB1,UB
CSD_LB4,LB
CSD_LB2,LB
CSD_LB1,LB
CSD_HB3,HB
CSD_HB2,HB
CSD_HB1,HB
CSD_C1,C
