Source,ppm,Intensity,Width,Area
data/peaks//31.csv,10.2,133,1.4,2381.93
data/peaks//31.csv,7.62,265.1,33.12,116551.9
data/peaks//31.csv,7.24,331.3,9.5,39456.25
data/peaks//31.csv,7.22,2531.9,4.18,134925.87
data/peaks//31.csv,7.11,356.9,7.62,39623.1
data/peaks//31.csv,7.09,2547.1,4.15,135367.07
data/peaks//31.csv,7.02,77.5,10.56,11925.43
data/peaks//31.csv,6.99,243.4,12.45,28877.86
data/peaks//31.csv,6.97,2551.7,4.57,151551.31
data/peaks//31.csv,6.52,1189.4,1.96,29182.49
data/peaks//31.csv,5.26,164.4,8.48,17520.17
data/peaks//31.csv,4.31,123.4,6.83,12027.5
data/peaks//31.csv,4.02,139.8,16.3,24967.94
data/peaks//31.csv,3.95,373.6,10.99,51363.88
data/peaks//31.csv,2.1,193.9,102.67,232902.54
data/peaks//31.csv,2.08,258.1,1.4,4475.78
data/peaks//31.csv,1.91,982.4,1.31,15995.31
data/peaks//31.csv,1.87,231.9,37.73,83852.25
data/peaks//31.csv,1.65,122.9,1.96,3430.06
data/peaks//31.csv,1.56,114.5,2.32,3408.85
data/peaks//31.csv,1.54,401.4,3.89,18847.96
data/peaks//31.csv,1.52,719.9,5.57,48620.98
data/peaks//31.csv,1.5,791.7,5.54,55428.45
data/peaks//31.csv,1.49,447,3.67,22180.38
data/peaks//31.csv,1.35,317.4,2.77,11314.69
data/peaks//31.csv,1.34,179.4,2.81,7349.38
data/peaks//32.csv,7.62,207.5,28.44,79256.61
data/peaks//32.csv,7.24,295.2,4.57,14821.54
data/peaks//32.csv,7.22,2635.7,3.31,108599.34
data/peaks//32.csv,7.11,277.6,4.95,17007.28
data/peaks//32.csv,7.09,2654.7,3.17,101298.41
data/peaks//32.csv,6.99,314.9,6.24,25135.78
data/peaks//32.csv,6.96,2586.4,3.1,99525.07
data/peaks//32.csv,6.52,1009.2,2.57,33311.98
data/peaks//32.csv,5.26,222.5,7.77,22842.73
data/peaks//32.csv,5.09,128.4,22.52,42014.45
data/peaks//32.csv,4.41,239.7,8.97,20231
data/peaks//32.csv,2.19,432.5,2.45,13950.11
data/peaks//32.csv,1.91,754.4,1.76,17091.98
data/peaks//32.csv,1.87,286.1,35.46,121959.72
data/peaks//32.csv,1.64,171,6.13,15273.29
data/peaks//32.csv,1.52,862.8,8.03,100888.03
data/peaks//32.csv,1.5,655.3,5.28,44378.5
data/peaks//32.csv,1.49,375.2,4.07,19522.54
data/peaks//32.csv,1.46,166.6,4.07,6376.27
data/peaks//33.csv,8.92,80,20.54,21343.7
data/peaks//33.csv,7.62,232.5,30.29,97760.31
data/peaks//33.csv,7.24,179.1,5.9,10620.05
data/peaks//33.csv,7.22,1852.9,4.58,109210.72
data/peaks//33.csv,7.11,212.1,5.67,16622.03
data/peaks//33.csv,7.09,1870.1,4.17,99920.41
data/peaks//33.csv,6.96,1847.3,4.3,98914.52
data/peaks//33.csv,6.52,1226.2,2.18,34361.15
data/peaks//33.csv,5.26,173.3,10.87,24190.06
data/peaks//33.csv,5.09,118.4,37.48,52435.49
data/peaks//33.csv,4.42,124.3,2.8,5075.41
data/peaks//33.csv,4.41,259.8,6.57,21644.58
data/peaks//33.csv,4.4,126.7,2.35,3575.77
data/peaks//33.csv,2.19,522.6,2.7,18314.5
data/peaks//33.csv,2.14,137.2,49.98,72718.3
data/peaks//33.csv,2.08,375.7,1.66,9076.15
data/peaks//33.csv,2.06,206.8,30.62,92254.04
data/peaks//33.csv,2.04,161.1,12.46,27171.07
data/peaks//33.csv,1.91,884.2,1.44,17190.62
data/peaks//33.csv,1.88,281.1,33.21,118392.45
data/peaks//33.csv,1.85,145.6,23.41,37280.98
data/peaks//33.csv,1.65,199.5,8.43,23934.32
data/peaks//33.csv,1.62,107.1,13.76,16859.85
data/peaks//33.csv,1.54,310.6,4.04,14517.64
data/peaks//33.csv,1.52,843.6,7.69,94537.46
data/peaks//33.csv,1.5,819.7,6.9,72088.01
data/peaks//34.csv,8.95,142.4,16.76,27983.74
data/peaks//34.csv,7.63,273.6,33.92,114911.51
data/peaks//34.csv,7.25,107.5,2.62,2849.96
data/peaks//34.csv,7.24,378.6,4.51,17836.14
data/peaks//34.csv,7.22,5165.7,2.84,187166.5
data/peaks//34.csv,7.12,432.1,4.46,21647.44
data/peaks//34.csv,7.1,5377.1,2.74,185187.4
data/peaks//34.csv,6.99,451.4,5.86,30746.23
data/peaks//34.csv,6.97,5129.6,2.76,178080.94
data/peaks//34.csv,6.52,1537.1,2.45,49582.86
data/peaks//34.csv,5.27,114.1,2.21,3501.61
data/peaks//34.csv,5.26,302,4.92,21651.64
data/peaks//34.csv,5.1,129.1,32.73,55602.93
data/peaks//34.csv,4.41,307,7.25,26292.54
data/peaks//34.csv,4.4,138.4,3.97,5742.17
data/peaks//34.csv,2.19,636.2,1.96,16026.37
data/peaks//34.csv,2.18,255.1,11.09,39687.21
data/peaks//34.csv,2.14,222.3,11.49,37208.61
data/peaks//34.csv,2.08,384.1,1.55,7627.89
data/peaks//34.csv,2.06,316.7,27.16,125289.42
data/peaks//34.csv,2.04,159.1,4.96,10546.97
data/peaks//34.csv,1.91,1159.1,1.43,18294.14
data/peaks//34.csv,1.87,306.1,37.5,110645.55
data/peaks//34.csv,1.77,161.9,6.18,11421.33
data/peaks//34.csv,1.64,161.3,3.82,8982.74
data/peaks//34.csv,1.56,117.2,2.95,3248.8
data/peaks//34.csv,1.54,215.8,2.98,7147.9
data/peaks//34.csv,1.54,305.8,3.85,12533.18
data/peaks//34.csv,1.52,1068.7,5.6,78213.99
data/peaks//34.csv,1.5,1153.2,6.22,98176.62
data/peaks//35.csv,7.62,258.6,33.44,115072.14
data/peaks//35.csv,7.25,204.1,5.7,11943.43
data/peaks//35.csv,7.22,2762.2,4.43,157879.67
data/peaks//35.csv,7.12,148.6,2.91,6306.26
data/peaks//35.csv,7.11,122.6,6.71,11028.5
data/peaks//35.csv,7.09,2809.9,4.25,151530.82
data/peaks//35.csv,6.99,282.1,7.6,31129.71
data/peaks//35.csv,6.97,2777.2,4.51,160129.61
data/peaks//35.csv,6.52,1082.6,2.45,34224.03
data/peaks//35.csv,5.26,151.7,8.28,14939.85
data/peaks//35.csv,4.02,157.2,14.38,30071.17
data/peaks//35.csv,3.95,288.5,10.66,37083.72
data/peaks//35.csv,2.19,542.9,2.69,19264.27
data/peaks//35.csv,2.08,155.8,1.39,2397.54
data/peaks//35.csv,2.07,270.3,33.93,124118.81
data/peaks//35.csv,2.04,144.8,11.3,22331.81
data/peaks//35.csv,1.92,73.1,15.05,13297.73
data/peaks//35.csv,1.91,646.2,1.64,13123.99
data/peaks//35.csv,1.87,282,31.63,93579.31
data/peaks//35.csv,1.54,265.2,3.79,10462.39
data/peaks//35.csv,1.52,695.7,7.34,65376.52
data/peaks//35.csv,1.5,637.2,5.38,38330.15
data/peaks//35.csv,1.49,395.7,4.63,24108.38
data/peaks//31.csv,1.32,247.8,2.81,8712.99
data/peaks//31.csv,1.3,233,2.67,6799.41
data/peaks//31.csv,1.28,276.1,3.17,12567.15
data/peaks//31.csv,1.26,975,148.3,2106513.53
data/peaks//31.csv,1.26,465.6,8.84,38704.38
data/peaks//31.csv,1.25,1592.6,4.51,97424.59
data/peaks//31.csv,1.23,2994.5,3.94,161719.67
data/peaks//31.csv,1.15,563.5,3.25,21116.65
data/peaks//31.csv,1.11,719,1.33,11446.27
data/peaks//31.csv,1.06,395.9,2.26,11502.95
data/peaks//31.csv,1.05,4689.5,3.33,175993.39
data/peaks//31.csv,1.03,4901.7,3.75,218001.26
data/peaks//31.csv,1.02,283.3,2.16,6650.97
data/peaks//31.csv,1,226.9,2.53,5995.77
data/peaks//31.csv,0.89,283.4,3.92,15663.73
data/peaks//31.csv,0.87,425.6,6.18,36778.54
data/peaks//31.csv,0.86,604.2,2.89,25422.86
data/peaks//31.csv,0.85,397.5,2.17,9765.2
data/peaks//31.csv,0.85,709.4,6.94,63792.81
data/peaks//31.csv,0.83,378.7,24.07,132821.92
data/peaks//31.csv,0.83,181.4,4.33,9871.97
data/peaks//31.csv,0.81,204.9,2.22,6015.9
data/peaks//31.csv,0.8,152.6,4.75,9862.39
data/peaks//31.csv,0.79,148.4,2.26,4813.93
data/peaks//31.csv,0.07,474.1,2.15,11857.22
data/peaks//31.csv,NA,NA,NA,NA
data/peaks//32.csv,1.42,1348.3,6.69,86729.59
data/peaks//32.csv,1.38,2101.7,4.38,111166.43
data/peaks//32.csv,1.32,264.7,3.06,8071.73
data/peaks//32.csv,1.3,195.4,3.31,6398.31
data/peaks//32.csv,1.27,455.8,9.75,41784.9
data/peaks//32.csv,1.25,4333.1,7.52,458580.8
data/peaks//32.csv,1.23,1013.7,3.43,45128.24
data/peaks//32.csv,1.18,174.5,2.13,4660.79
data/peaks//32.csv,1.14,553.5,3.91,25584.96
data/peaks//32.csv,1.11,476.1,1.96,13230.96
data/peaks//32.csv,1.04,15801.5,3.75,661191.25
data/peaks//32.csv,1.03,16178.7,3.8,698514.53
data/peaks//32.csv,1.01,1540.3,2.68,54249.41
data/peaks//32.csv,1,1536.1,2.32,43535.77
data/peaks//32.csv,0.87,548.7,6.39,44892.77
data/peaks//32.csv,0.86,770.7,2.82,28019.36
data/peaks//32.csv,0.84,592.7,10.27,74013.42
data/peaks//32.csv,0.81,273.3,8.99,35802.79
data/peaks//32.csv,0.07,403.5,2.56,12472.27
data/peaks//33.csv,1.49,408.1,3.54,16820.95
data/peaks//33.csv,1.47,155.9,3.61,5768.56
data/peaks//33.csv,1.42,858.3,7.63,70875.49
data/peaks//33.csv,1.38,1256.5,5.66,90741.3
data/peaks//33.csv,1.34,124.7,2.43,3567.02
data/peaks//33.csv,1.32,339.8,3.79,16103.86
data/peaks//33.csv,1.3,315.9,4.26,17238.1
data/peaks//33.csv,1.28,280,3.86,13512.58
data/peaks//33.csv,1.26,711.5,9.93,96642.96
data/peaks//33.csv,1.25,3917.9,6.18,316755
data/peaks//33.csv,1.23,1226.3,3.56,57661.38
data/peaks//33.csv,1.19,155.8,2.28,3420.31
data/peaks//33.csv,1.15,454.9,3.97,22106.83
data/peaks//33.csv,1.11,1066.2,1.62,24089.32
data/peaks//33.csv,1.04,16579.8,3.68,657626.04
data/peaks//33.csv,1.03,17488.5,4.07,842211.18
data/peaks//33.csv,1.01,1497.6,2.33,39823.86
data/peaks//33.csv,1,333.5,2.42,7593.78
data/peaks//33.csv,1,1640,2.32,45712.67
data/peaks//33.csv,0.87,502.3,8.04,58870.51
data/peaks//33.csv,0.86,725.6,3.18,32018.77
data/peaks//33.csv,0.84,557.7,9.96,76081.37
data/peaks//33.csv,0.81,134.6,2.29,3748.34
data/peaks//33.csv,0.81,187.6,10.21,27812.92
data/peaks//33.csv,0.79,116.8,1.9,3238.65
data/peaks//33.csv,0.07,328.9,2.45,9932.21
data/peaks//34.csv,1.49,612.5,3.7,30090.23
data/peaks//34.csv,1.46,308.7,4.93,14571.7
data/peaks//34.csv,1.43,1967.1,4.18,103922.33
data/peaks//34.csv,1.42,815.8,3.91,42025.77
data/peaks//34.csv,1.4,376.1,3.62,14625.88
data/peaks//34.csv,1.38,3012.6,3.97,143217.18
data/peaks//34.csv,1.34,146.8,3.19,5378
data/peaks//34.csv,1.32,384,3.16,13496.08
data/peaks//34.csv,1.3,395,3.55,17738.16
data/peaks//34.csv,1.28,707,5.83,60010.95
data/peaks//34.csv,1.26,760.1,6.15,53633.05
data/peaks//34.csv,1.25,5341.6,5.57,395889.51
data/peaks//34.csv,1.23,1697,3.44,74929.28
data/peaks//34.csv,1.18,174.4,2.01,4868.06
data/peaks//34.csv,1.15,580.5,3.57,25325.51
data/peaks//34.csv,1.11,167.9,1.71,3491.74
data/peaks//34.csv,1.11,1183.2,1.39,20818.48
data/peaks//34.csv,1.1,141.2,3.97,8173.42
data/peaks//34.csv,1.04,20615.8,3.43,783384.8
data/peaks//34.csv,1.03,20650.4,3.7,873751.32
data/peaks//34.csv,1.01,2192.1,2.43,66355.16
data/peaks//34.csv,1,370.3,1.68,7264.5
data/peaks//34.csv,1,2172.3,2.15,53100.24
data/peaks//34.csv,0.87,724.5,8.4,88686.62
data/peaks//34.csv,0.86,995.6,2.07,26094.42
data/peaks//34.csv,0.85,310.2,2.17,7130.46
data/peaks//34.csv,0.84,580.7,4.52,38098.01
data/peaks//34.csv,0.82,323.7,30.74,141749.39
data/peaks//34.csv,0.81,184.5,4.62,12410.88
data/peaks//34.csv,0.07,468.8,2.21,12602.81
data/peaks//35.csv,1.47,114.1,1.22,1791.98
data/peaks//35.csv,1.35,416.5,2.8,16207.93
data/peaks//35.csv,1.34,202.3,10.05,29621.62
data/peaks//35.csv,1.32,195.9,2.99,6720.63
data/peaks//35.csv,1.3,244,3.6,9511.68
data/peaks//35.csv,1.28,138.7,1.68,3081.4
data/peaks//35.csv,1.26,679.1,25.18,249085.9
data/peaks//35.csv,1.25,1060.2,5.45,77067.29
data/peaks//35.csv,1.23,2179.4,4.43,129729.35
data/peaks//35.csv,1.15,484.3,4.03,23564.96
data/peaks//35.csv,1.11,557.7,1.75,12376.89
data/peaks//35.csv,1.05,4026.1,4.11,201279.2
data/peaks//35.csv,1.03,4024.5,3.9,185624.23
data/peaks//35.csv,1.02,368.5,2.9,12709.31
data/peaks//35.csv,1,217.4,2.88,8055.8
data/peaks//35.csv,0.89,148.4,14.38,21465.3
