,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,7.62,258.6,33.44,115072.14,Compound,None,,,24,1.47,114.1,1.22,1791.98,Impurity,None,,
2,7.25,204.1,5.7,11943.43,Impurity,None,,,25,1.35,416.5,2.8,16207.93,Compound,None,,
3,7.22,2762.2,4.43,157879.67,Compound,None,,,26,1.34,202.3,10.05,29621.62,Compound,None,,
4,7.12,148.6,2.91,6306.26,Compound,None,,,27,1.32,195.9,2.99,6720.63,Compound,None,,
5,7.11,122.6,6.71,11028.5,Compound,None,,,28,1.3,244,3.6,9511.68,Compound,None,,
6,7.09,2809.9,4.25,151530.82,Compound,None,,,29,1.28,138.7,1.68,3081.4,Compound,None,,
7,6.99,282.1,7.6,31129.71,Compound,None,,,30,1.26,679.1,25.18,249085.9,Compound,None,,
8,6.97,2777.2,4.51,160129.61,Compound,None,,,31,1.25,1060.2,5.45,77067.29,Compound,None,,
9,6.52,1082.6,2.45,34224.03,Compound,None,,,32,1.23,2179.4,4.43,129729.35,Compound,None,,
10,5.26,151.7,8.28,14939.85,Compound,None,,,33,1.15,484.3,4.03,23564.96,Compound,None,,
11,4.02,157.2,14.38,30071.17,Compound,None,,,34,1.11,557.7,1.75,12376.89,Compound,None,,
12,3.95,288.5,10.66,37083.72,Compound,None,,,35,1.05,4026.1,4.11,201279.2,Compound,None,,
13,2.19,542.9,2.69,19264.27,Compound,None,,,36,1.03,4024.5,3.9,185624.23,Compound,None,,
14,2.08,155.8,1.39,2397.54,Compound,None,,,37,1.02,368.5,2.9,12709.31,Compound,None,,
15,2.07,270.3,33.93,124118.81,Compound,None,,,38,1,217.4,2.88,8055.8,Compound,None,,
16,2.04,144.8,11.3,22331.81,Compound,None,,,39,0.89,148.4,14.38,21465.3,Compound,None,,
17,1.92,73.1,15.05,13297.73,Compound,None,,,40,0.87,206.6,4.92,11593.99,Compound,None,,
18,1.91,646.2,1.64,13123.99,Compound,None,,,41,0.86,371.3,2.88,13679.27,Compound,None,,
19,1.87,282,31.63,93579.31,Compound,None,,,42,0.85,366.9,2.78,12336.87,Compound,None,,
20,1.54,265.2,3.79,10462.39,Compound,None,,,43,0.85,474.3,13.74,79223.91,Compound,None,,
21,1.52,695.7,7.34,65376.52,Compound,None,,,44,0.84,283.6,26.5,108710.48,Compound,None,,
22,1.5,637.2,5.38,38330.15,Compound,None,,,45,0.81,167.9,10.13,24778.18,Compound,None,,
23,1.49,395.7,4.63,24108.38,Compound,None,,,46,0.07,420.6,2.49,12729.81,Compound,None,,
