,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,7.62,207.5,28.44,79256.61,Compound,None,,,20,1.42,1348.3,6.69,86729.59,Compound,None,,
2,7.24,295.2,4.57,14821.54,Compound,None,,,21,1.38,2101.7,4.38,111166.43,Compound,None,,
3,7.22,2635.7,3.31,108599.34,Compound,None,,,22,1.32,264.7,3.06,8071.73,Compound,None,,
4,7.11,277.6,4.95,17007.28,Compound,None,,,23,1.3,195.4,3.31,6398.31,Compound,None,,
5,7.09,2654.7,3.17,101298.41,Compound,None,,,24,1.27,455.8,9.75,41784.9,Compound,None,,
6,6.99,314.9,6.24,25135.78,Compound,None,,,25,1.25,4333.1,7.52,458580.8,Compound,None,,
7,6.96,2586.4,3.1,99525.07,Compound,None,,,26,1.23,1013.7,3.43,45128.24,Compound,None,,
8,6.52,1009.2,2.57,33311.98,Compound,None,,,27,1.18,174.5,2.13,4660.79,Impurity,None,,
9,5.26,222.5,7.77,22842.73,Compound,None,,,28,1.14,553.5,3.91,25584.96,Compound,None,,
10,5.09,128.4,22.52,42014.45,Compound,None,,,29,1.11,476.1,1.96,13230.96,Compound,None,,
11,4.41,239.7,8.97,20231,Compound,None,,,30,1.04,15801.5,3.75,661191.25,Compound,None,,
12,2.19,432.5,2.45,13950.11,Compound,None,,,31,1.03,16178.7,3.8,698514.53,Compound,None,,
13,1.91,754.4,1.76,17091.98,Compound,None,,,32,1.01,1540.3,2.68,54249.41,Compound,None,,
14,1.87,286.1,35.46,121959.72,Compound,None,,,33,1,1536.1,2.32,43535.77,Compound,None,,
15,1.64,171,6.13,15273.29,Compound,None,,,34,0.87,548.7,6.39,44892.77,Compound,None,,
16,1.52,862.8,8.03,100888.03,Compound,None,,,35,0.86,770.7,2.82,28019.36,Compound,None,,
17,1.5,655.3,5.28,44378.5,Compound,None,,,36,0.84,592.7,10.27,74013.42,Compound,None,,
18,1.49,375.2,4.07,19522.54,Compound,None,,,37,0.81,273.3,8.99,35802.79,Compound,None,,
19,1.46,166.6,4.07,6376.27,Compound,None,,,38,0.07,403.5,2.56,12472.27,Compound,None,,
