"group","Drying","Wetting","asterisk"
"aliphatic1","68.95 ± 4.14","41.03 ± 10.49 *","*"
"aliphatic2","11.83 ± 1.85","2.45 ± 1.19 *","*"
"alphah","0 ± 0","1.8 ± 1.05 NA",NA
"amide","0 ± 0","0.36 ± 0.24 NA",NA
"aromatic","15.68 ± 2.66","31.4 ± 8.7 NA",NA
"carb","0 ± 0","11.43 ± 11.43 NA",NA
"oalkyl","3.53 ± 2.25","11.54 ± 10.02 NA",NA
